Name XP TV OVR RN HB QB GN BK DL LB CV Spd Str Agl Stm Tck Blk Ddg BrB Hnd Pas Vis Bru Dur Sal
Steve Morrey
#7 Common Troll	12	90	105	61	59	56	78	81	111	95	73	59	90	52	71	73	55	19	76	40	51	57	75	84	465
Julio Lobster
#93 Common Drakon	9	79	76	51	55	33	74	59	89	78	66	70	81	37	52	45	38	30	70	49	38	38	63	83	324
Ross Puke
#11 Common Celestial	4	82	68	77	41	101	56	28	48	56	76	64	54	30	57	39	39	34	57	55	71	100	19	51	233
Diego ASMR
#98 Common Minotaur	9	70	67	50	52	41	53	58	82	71	39	42	93	41	62	66	40	27	63	27	51	37	69	63	151
Ed Big-Mother
#22 Subterranean Minotaur	9	67	64	70	72	41	57	76	48	45	41	47	85	23	49	34	72	72	48	47	55	32	43	63	165
[CAPTAIN] Daxxter Hijack
#28 Common Satyr	9	76	63	56	59	39	79	33	45	77	88	68	47	58	41	59	60	54	49	74	35	50	16	41	163
Gillian Voidmonkey
#79 Common Satyr	2	76	63	62	59	60	66	50	45	60	75	76	32	57	52	44	58	54	28	64	61	53	33	67	213
Emmental Helmet
#62 Common Goblin	5	69	59	83	72	80	51	18	20	44	51	51	58	63	51	44	39	66	38	38	71	71	42	29	140
Darkmode Enya
#21 Common Human	1	73	58	64	48	73	44	25	50	63	61	58	30	53	50	62	44	55	58	53	68	64	59	49	120
Freaky Hubert
#53 Common Human	4	59	57	60	59	54	56	34	35	41	43	44	50	60	75	44	57	48	62	48	58	48	64	42	134
Captain Fantastic
#2 Common Drakon	8	59	57	47	47	49	53	62	42	35	44	48	57	46	66	30	84	37	65	49	41	58	40	53	212
Quebec Spire
#5 Storm Orc	4	79	54	43	49	25	81	37	65	76	74	54	46	60	60	74	30	40	39	78	52	13	63	75	157
Bitsy Hijinx
#22 Gibbon Kongan	0	72	52	45	39	53	50	30	71	74	59	35	57	36	66	88	25	39	53	55	50	54	25	65	136
Hank Donkk
#34 Common Troll	1	80	47	22	29	26	38	83	56	46	30	40	59	49	68	55	77	13	53	31	19	48	56	81	135
Drip Fizzlebrew
#79 Pit Fiend	1	67	47	33	39	28	61	54	53	50	45	22	84	35	71	64	43	26	49	53	25	44	77	62	143
Betunia Thrust
#44 Common Dwarf	0	68	46	52	61	13	50	55	65	51	24	45	81	36	76	45	39	41	63	30	31	17	19	68	158
Bubba Big-Rig
#93 Common Orc	1	69	45	32	26	46	32	47	53	56	33	43	56	37	48	61	69	26	67	36	53	42	55	49	129
Bonobo Wrangler
#15 Common Goblin	1	55	44	65	66	46	46	18	25	42	45	55	43	51	48	39	40	74	52	48	47	48	72	35	143
Deep Monkfish
#45 Common Drow	1	62	42	37	40	39	44	43	55	65	48	39	45	57	36	83	41	50	33	53	59	26	62	68	122
Le Freak
#73 Pygmy Goblin	0	54	38	75	75	49	27	18	22	30	16	53	41	82	61	38	32	66	39	11	47	52	57	38	137
Kaladrod Wheaty
#34 Common Drakon	0	57	38	30	30	39	43	39	49	51	44	42	51	34	46	56	53	37	60	55	47	38	57	54	132
Rusty Nerd
#45 Cityborn Minotaur	8	46	36	45	51	26	48	42	34	44	43	44	53	47	48	51	54	56	36	50	25	41	49	54	114
